Account,9/9/2017,1/1/2018,4/26/2018,11/26/2020,1/2/2022,3/17/22,4/27/22,6/4/22,7/16/22,8/19/2022,10/27/2022,11/21/22,12/18/22,2/3/23,4/4/23,6/11/23,8/9/23,11/22/23,1/25/24,3/10/24,7 May 2024,4 July 2024,1 Nov 2024,10 Feb 2025,21 Mar 25,22 Jun 25,30 Aug 25,1 Nov 2025,24 Jan 2026,28 Feb 2026
Acorn,"$3,109","$4,000","$6,060","$24,000","$62,000","$68,388","$69,697","$69,484","$65,029","$71,410","$68,521"," $ 72,259 ","$73,000","$79,805","$79,961","$83,849","$88,975","$92,393","$101,969","$109,000","$115,932","$121,100","$137,905","$150,970","$155,934","$170,248","$135,936","$149,211","$167,029",172058
BoA (save),"$11,095","$12,000","$10,000","$10,000","$10,000","$15,000","$14,400","$15,050","$18,186","$18,031","$11,500"," $ 15,200 ","$14,200","$7,827","$12,000","$11,000","$8,351","$13,924","$17,108","$18,000","$8,505","$7,700","-$1,000","$18,364","$18,276","$19,191","$58,030","$26,855","$17,498",6888.93
BECU (save),"$148,159","$120,000","$148,000","$140,000","$103,000","$116,600","$117,837","$112,946","$117,279","$128,526","$141,983"," $ 142,033 ","$147,861","$155,371","$145,000","$158,522","$161,586","$147,540","$145,814","$158,505","$164,155","$156,054","$152,180","$140,924","$128,164","$90,763","$94,342","$116,334","$99,648",114634.93
Wise,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,253","$17,090","$35,724",35806
Oz,"$100,000","$100,000","$100,000","$177,600","$170,000","$180,264","$173,950","$176,400","$166,612","$169,084","$158,096"," $ 161,894 ","$163,615","$171,052","$166,332","$166,812","$161,832","$161,832","$164,322","$164,322","$172,404","$175,386","$173,382","$168,531","$173,623","$223,465","$226,104","$231,979","$244,862","$255,665"
Etrade,$0,$0,$0,$0,"$9,000","$8,393","$6,489","$6,236","$5,624","$6,705","$10,591"," $ 10,458 ","$10,343","$12,048","$11,147","$12,815","$12,959","$13,543","$15,325","$16,000","$18,871","$19,820","$22,750","$30,494","$33,822","$38,453","$40,938","$35,203","$31,326",33824
401k,"$290,000","$325,000","$335,000","$350,000","$470,000","$490,109","$439,736","$439,382","$433,700","$461,217","$422,447"," $ 458,820 ","$456,197","$499,936","$490,000","$505,857","$528,767","$530,329","$569,762","$597,720","$600,405","$614,540","$653,594","$688,593","$682,918","$727,107","$787,086","$824,223","$868,709",883555
Super,"$100,000","$100,000","$100,000","$100,000","$76,400","$76,400","$127,566","$127,566","$122,176","$123,973","$115,916"," $ 118,582 ","$118,582","$123,973","$120,379","$120,379","$116,786","$116,786","$118,582","$136,620","$136,620","$136,620","$141,332","$134,908","$134,908","$137,050","$139,191","$139,191","$145,615","$152,039"
Debt,"-$80,000","-$75,000","-$70,000","-$35,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$23,000","$21,000","$18,000","$16,000","$13,000","$9,000","$9,000",$0,$0,$0,$0,$0,0
